Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+049C; C; U+049D; # CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
U+049E; C; U+049F; # CYRILLIC CAPITAL LETTER KA WITH STROKE
U+04A0; C; U+04A1; # CYRILLIC CAPITAL LETTER BASHKIR KA
U+04A2; C; U+04A3; # CYRILLIC CAPITAL LETTER EN WITH DESCENDER
U+04A4; C; U+04A5; # CYRILLIC CAPITAL LIGATURE EN GHE
U+04A6; C; U+04A7; # CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
U+04A8; C; U+04A9; # CYRILLIC CAPITAL LETTER ABKHASIAN HA
U+04AA; C; U+04AB; # CYRILLIC CAPITAL LETTER ES WITH DESCENDER
U+04AC; C; U+04AD; # CYRILLIC CAPITAL LETTER TE WITH DESCENDER
U+04AE; C; U+04AF; # CYRILLIC CAPITAL LETTER STRAIGHT U
U+04B0; C; U+04B1; # CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
U+04B2; C; U+04B3; # CYRILLIC CAPITAL LETTER HA WITH DESCENDER
U+04B4; C; U+04B5; # CYRILLIC CAPITAL LIGATURE TE TSE
U+04B6; C; U+04B7; # CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
U+04B8; C; U+04B9; # CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
U+04BA; C; U+04BB; # CYRILLIC CAPITAL LETTER SHHA
U+04BC; C; U+04BD; # CYRILLIC CAPITAL LETTER ABKHASIAN CHE
U+04BE; C; U+04BF; # CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
U+04C0; C; U+04CF; # CYRILLIC LETTER PALOCHKA
U+04C1; C; U+04C2; # CYRILLIC CAPITAL LETTER ZHE WITH BREVE
U+04C3; C; U+04C4; # CYRILLIC CAPITAL LETTER KA WITH HOOK
U+04C5; C; U+04C6; # CYRILLIC CAPITAL LETTER EL WITH TAIL
U+04C7; C; U+04C8; # CYRILLIC CAPITAL LETTER EN WITH HOOK
U+04C9; C; U+04CA; # CYRILLIC CAPITAL LETTER EN WITH TAIL
U+04CB; C; U+04CC; # CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
U+04CD; C; U+04CE; # CYRILLIC CAPITAL LETTER EM WITH TAIL
U+04D0; C; U+04D1; # CYRILLIC CAPITAL LETTER A WITH BREVE
U+04D2; C; U+04D3; # CYRILLIC CAPITAL LETTER A WITH DIAERESIS
U+04D4; C; U+04D5; # CYRILLIC CAPITAL LIGATURE A IE
U+04D6; C; U+04D7; # CYRILLIC CAPITAL LETTER IE WITH BREVE
U+04D8; C; U+04D9; # CYRILLIC CAPITAL LETTER SCHWA
U+04DA; C; U+04DB; # CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
U+04DC; C; U+04DD; # CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
U+04DE; C; U+04DF; # CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
U+04E0; C; U+04E1; # CYRILLIC CAPITAL LETTER ABKHASIAN DZE
U+04E2; C; U+04E3; # CYRILLIC CAPITAL LETTER I WITH MACRON
U+04E4; C; U+04E5; # CYRILLIC CAPITAL LETTER I WITH DIAERESIS
U+04E6; C; U+04E7; # CYRILLIC CAPITAL LETTER O WITH DIAERESIS
U+04E8; C; U+04E9; # CYRILLIC CAPITAL LETTER BARRED O
U+04EA; C; U+04EB; # CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
U+04EC; C; U+04ED; # CYRILLIC CAPITAL LETTER E WITH DIAERESIS
U+04EE; C; U+04EF; # CYRILLIC CAPITAL LETTER U WITH MACRON
U+04F0; C; U+04F1; # CYRILLIC CAPITAL LETTER U WITH DIAERESIS
U+04F2; C; U+04F3; # CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
U+04F4; C; U+04F5; # CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
U+04F6; C; U+04F7; # CYRILLIC CAPITAL LETTER GHE WITH DESCENDER
U+04F8; C; U+04F9; # CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
U+04FA; C; U+04FB; # CYRILLIC CAPITAL LETTER GHE WITH STROKE AND HOOK
U+04FC; C; U+04FD; # CYRILLIC CAPITAL LETTER HA WITH HOOK
U+04FE; C; U+04FF; # CYRILLIC CAPITAL LETTER HA WITH STROKE
U+0500; C; U+0501; # CYRILLIC CAPITAL LETTER KOMI DE
U+0502; C; U+0503; # CYRILLIC CAPITAL LETTER KOMI DJE
U+0504; C; U+0505; # CYRILLIC CAPITAL LETTER KOMI ZJE
U+0506; C; U+0507; # CYRILLIC CAPITAL LETTER KOMI DZJE
U+0508; C; U+0509; # CYRILLIC CAPITAL LETTER KOMI LJE
U+050A; C; U+050B; # CYRILLIC CAPITAL LETTER KOMI NJE
U+050C; C; U+050D; # CYRILLIC CAPITAL LETTER KOMI SJE
U+050E; C; U+050F; # CYRILLIC CAPITAL LETTER KOMI TJE
U+0510; C; U+0511; # CYRILLIC CAPITAL LETTER REVERSED ZE
U+0512; C; U+0513; # CYRILLIC CAPITAL LETTER EL WITH HOOK
U+0514; C; U+0515; # CYRILLIC CAPITAL LETTER LHA
U+0516; C; U+0517; # CYRILLIC CAPITAL LETTER RHA
U+0518; C; U+0519; # CYRILLIC CAPITAL LETTER YAE
U+051A; C; U+051B; # CYRILLIC CAPITAL LETTER QA
U+051C; C; U+051D; # CYRILLIC CAPITAL LETTER WE
U+051E; C; U+051F; # CYRILLIC CAPITAL LETTER ALEUT KA
U+0520; C; U+0521; # CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK
U+0522; C; U+0523; # CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK
U+0524; C; U+0525; # CYRILLIC CAPITAL LETTER PE WITH DESCENDER
U+0526; C; U+0527; # CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER
U+0528; C; U+0529; # CYRILLIC CAPITAL LETTER EN WITH LEFT HOOK
U+052A; C; U+052B; # CYRILLIC CAPITAL LETTER DZZHE
U+052C; C; U+052D; # CYRILLIC CAPITAL LETTER DCHE
U+052E; C; U+052F; # CYRILLIC CAPITAL LETTER EL WITH DESCENDER
U+0531; C; U+0561; # ARMENIAN CAPITAL LETTER AYB
U+0532; C; U+0562; # ARMENIAN CAPITAL LETTER BEN
U+0533; C; U+0563; # ARMENIAN CAPITAL LETTER GIM
U+0534; C; U+0564; # ARMENIAN CAPITAL LETTER DA
U+0535; C; U+0565; # ARMENIAN CAPITAL LETTER ECH
U+0536; C; U+0566; # ARMENIAN CAPITAL LETTER ZA
U+0537; C; U+0567; # ARMENIAN CAPITAL LETTER EH
U+0538; C; U+0568; # ARMENIAN CAPITAL LETTER ET
U+0539; C; U+0569; # ARMENIAN CAPITAL LETTER TO
U+053A; C; U+056A; # ARMENIAN CAPITAL LETTER ZHE
U+053B; C; U+056B; # ARMENIAN CAPITAL LETTER INI
U+053C; C; U+056C; # ARMENIAN CAPITAL LETTER LIWN
U+053D; C; U+056D; # ARMENIAN CAPITAL LETTER XEH
U+053E; C; U+056E; # ARMENIAN CAPITAL LETTER CA
U+053F; C; U+056F; # ARMENIAN CAPITAL LETTER KEN
U+0540; C; U+0570; # ARMENIAN CAPITAL LETTER HO
U+0541; C; U+0571; # ARMENIAN CAPITAL LETTER JA
U+0542; C; U+0572; # ARMENIAN CAPITAL LETTER GHAD
U+0543; C; U+0573; # ARMENIAN CAPITAL LETTER CHEH
U+0544; C; U+0574; # ARMENIAN CAPITAL LETTER MEN
U+0545; C; U+0575; # ARMENIAN CAPITAL LETTER YI
U+0546; C; U+0576; # ARMENIAN CAPITAL LETTER NOW
U+0547; C; U+0577; # ARMENIAN CAPITAL LETTER SHA
U+0548; C; U+0578; # ARMENIAN CAPITAL LETTER VO
U+0549; C; U+0579; # ARMENIAN CAPITAL LETTER CHA
U+054A; C; U+057A; # ARMENIAN CAPITAL LETTER PEH
U+054B; C; U+057B; # ARMENIAN CAPITAL LETTER JHEH
U+054C; C; U+057C; # ARMENIAN CAPITAL LETTER RA
U+054D; C; U+057D; # ARMENIAN CAPITAL LETTER SEH
U+054E; C; U+057E; # ARMENIAN CAPITAL LETTER VEW
U+054F; C; U+057F; # ARMENIAN CAPITAL LETTER TIWN
U+0550; C; U+0580; # ARMENIAN CAPITAL LETTER REH
U+0551; C; U+0581; # ARMENIAN CAPITAL LETTER CO
U+0552; C; U+0582; # ARMENIAN CAPITAL LETTER YIWN
U+0553; C; U+0583; # ARMENIAN CAPITAL LETTER PIWR
U+0554; C; U+0584; # ARMENIAN CAPITAL LETTER KEH
U+0555; C; U+0585; # ARMENIAN CAPITAL LETTER OH
U+0556; C; U+0586; # ARMENIAN CAPITAL LETTER FEH
U+0587; F; U+0565 U+0582; # ARMENIAN SMALL LIGATURE ECH YIWN
U+10A0; C; U+2D00; # GEORGIAN CAPITAL LETTER AN
U+10A1; C; U+2D01; # GEORGIAN CAPITAL LETTER BAN
U+10A2; C; U+2D02; # GEORGIAN CAPITAL LETTER GAN
U+10A3; C; U+2D03; # GEORGIAN CAPITAL LETTER DON
U+10A4; C; U+2D04; # GEORGIAN CAPITAL LETTER EN
U+10A5; C; U+2D05; # GEORGIAN CAPITAL LETTER VIN
U+10A6; C; U+2D06; # GEORGIAN CAPITAL LETTER ZEN
U+10A7; C; U+2D07; # GEORGIAN CAPITAL LETTER TAN
U+10A8; C; U+2D08; # GEORGIAN CAPITAL LETTER IN
U+10A9; C; U+2D09; # GEORGIAN CAPITAL LETTER KAN
U+10AA; C; U+2D0A; # GEORGIAN CAPITAL LETTER LAS
U+10AB; C; U+2D0B; # GEORGIAN CAPITAL LETTER MAN
U+10AC; C; U+2D0C; # GEORGIAN CAPITAL LETTER NAR
U+10AD; C; U+2D0D; # GEORGIAN CAPITAL LETTER ON
U+10AE; C; U+2D0E; # GEORGIAN CAPITAL LETTER PAR
U+10AF; C; U+2D0F; # GEORGIAN CAPITAL LETTER ZHAR
U+10B0; C; U+2D10; # GEORGIAN CAPITAL LETTER RAE
U+10B1; C; U+2D11; # GEORGIAN CAPITAL LETTER SAN
U+10B2; C; U+2D12; # GEORGIAN CAPITAL LETTER TAR
U+10B3; C; U+2D13; # GEORGIAN CAPITAL LETTER UN
U+10B4; C; U+2D14; # GEORGIAN CAPITAL LETTER PHAR
U+10B5; C; U+2D15; # GEORGIAN CAPITAL LETTER KHAR
U+10B6; C; U+2D16; # GEORGIAN CAPITAL LETTER GHAN
U+10B7; C; U+2D17; # GEORGIAN CAPITAL LETTER QAR
U+10B8; C; U+2D18; # GEORGIAN CAPITAL LETTER SHIN
U+10B9; C; U+2D19; # GEORGIAN CAPITAL LETTER CHIN
U+10BA; C; U+2D1A; # GEORGIAN CAPITAL LETTER CAN
U+10BB; C; U+2D1B; # GEORGIAN CAPITAL LETTER JIL
U+10BC; C; U+2D1C; # GEORGIAN CAPITAL LETTER CIL
U+10BD; C; U+2D1D; # GEORGIAN CAPITAL LETTER CHAR
U+10BE; C; U+2D1E; # GEORGIAN CAPITAL LETTER XAN
U+10BF; C; U+2D1F; # GEORGIAN CAPITAL LETTER JHAN
U+10C0; C; U+2D20; # GEORGIAN CAPITAL LETTER HAE
U+10C1; C; U+2D21; # GEORGIAN CAPITAL LETTER HE
U+10C2; C; U+2D22; # GEORGIAN CAPITAL LETTER HIE
U+10C3; C; U+2D23; # GEORGIAN CAPITAL LETTER WE
U+10C4; C; U+2D24; # GEORGIAN CAPITAL LETTER HAR
U+10C5; C; U+2D25; # GEORGIAN CAPITAL LETTER HOE
U+10C7; C; U+2D27; # GEORGIAN CAPITAL LETTER YN
U+10CD; C; U+2D2D; # GEORGIAN CAPITAL LETTER AEN
U+13F8; C; U+13F0; # CHEROKEE SMALL LETTER YE
U+13F9; C; U+13F1; # CHEROKEE SMALL LETTER YI
U+13FA; C; U+13F2; # CHEROKEE SMALL LETTER YO
U+13FB; C; U+13F3; # CHEROKEE SMALL LETTER YU
U+13FC; C; U+13F4; # CHEROKEE SMALL LETTER YV
U+13FD; C; U+13F5; # CHEROKEE SMALL LETTER MV
U+1C80; C; U+0432; # CYRILLIC SMALL LETTER ROUNDED VE
U+1C81; C; U+0434; # CYRILLIC SMALL LETTER LONG-LEGGED DE
U+1C82; C; U+043E; # CYRILLIC SMALL LETTER NARROW O
U+1C83; C; U+0441; # CYRILLIC SMALL LETTER WIDE ES
U+1C84; C; U+0442; # CYRILLIC SMALL LETTER TALL TE
U+1C85; C; U+0442; # CYRILLIC SMALL LETTER THREE-LEGGED TE
U+1C86; C; U+044A; # CYRILLIC SMALL LETTER TALL HARD SIGN
U+1C87; C; U+0463; # CYRILLIC SMALL LETTER TALL YAT
U+1C88; C; A64B; # CYRILLIC SMALL LETTER UNBLENDED UK
U+1C90; C; U+10D0; # GEORGIAN MTAVRULI CAPITAL LETTER AN
U+1C91; C; U+10D1; # GEORGIAN MTAVRULI CAPITAL LETTER BAN
U+1C92; C; U+10D2; # GEORGIAN MTAVRULI CAPITAL LETTER GAN
U+1C93; C; U+10D3; # GEORGIAN MTAVRULI CAPITAL LETTER DON
U+1C94; C; U+10D4; # GEORGIAN MTAVRULI CAPITAL LETTER EN
U+1C95; C; U+10D5; # GEORGIAN MTAVRULI CAPITAL LETTER VIN
U+1C96; C; U+10D6; # GEORGIAN MTAVRULI CAPITAL LETTER ZEN
U+1C97; C; U+10D7; # GEORGIAN MTAVRULI CAPITAL LETTER TAN
U+1C98; C; U+10D8; # GEORGIAN MTAVRULI CAPITAL LETTER IN
U+1C99; C; U+10D9; # GEORGIAN MTAVRULI CAPITAL LETTER KAN
U+1C9A; C; U+10DA; # GEORGIAN MTAVRULI CAPITAL LETTER LAS
U+1C9B; C; U+10DB; # GEORGIAN MTAVRULI CAPITAL LETTER MAN
U+1C9C; C; U+10DC; # GEORGIAN MTAVRULI CAPITAL LETTER NAR
U+1C9D; C; U+10DD; # GEORGIAN MTAVRULI CAPITAL LETTER ON
U+1C9E; C; U+10DE; # GEORGIAN MTAVRULI CAPITAL LETTER PAR
U+1C9F; C; U+10DF; # GEORGIAN MTAVRULI CAPITAL LETTER ZHAR
U+1CA0; C; U+10E0; # GEORGIAN MTAVRULI CAPITAL LETTER RAE
U+1CA1; C; U+10E1; # GEORGIAN MTAVRULI CAPITAL LETTER SAN
U+1CA2; C; U+10E2; # GEORGIAN MTAVRULI CAPITAL LETTER TAR
U+1CA3; C; U+10E3; # GEORGIAN MTAVRULI CAPITAL LETTER UN
U+1CA4; C; U+10E4; # GEORGIAN MTAVRULI CAPITAL LETTER PHAR
U+1CA5; C; U+10E5; # GEORGIAN MTAVRULI CAPITAL LETTER KHAR
U+1CA6; C; U+10E6; # GEORGIAN MTAVRULI CAPITAL LETTER GHAN
U+1CA7; C; U+10E7; # GEORGIAN MTAVRULI CAPITAL LETTER QAR
U+1CA8; C; U+10E8; # GEORGIAN MTAVRULI CAPITAL LETTER SHIN
U+1CA9; C; U+10E9; # GEORGIAN MTAVRULI CAPITAL LETTER CHIN
U+1CAA; C; U+10EA; # GEORGIAN MTAVRULI CAPITAL LETTER CAN
U+1CAB; C; U+10EB; # GEORGIAN MTAVRULI CAPITAL LETTER JIL
U+1CAC; C; U+10EC; # GEORGIAN MTAVRULI CAPITAL LETTER CIL
U+1CAD; C; U+10ED; # GEORGIAN MTAVRULI CAPITAL LETTER CHAR
U+1CAE; C; U+10EE; # GEORGIAN MTAVRULI CAPITAL LETTER XAN
U+1CAF; C; U+10EF; # GEORGIAN MTAVRULI CAPITAL LETTER JHAN
U+1CB0; C; U+10F0; # GEORGIAN MTAVRULI CAPITAL LETTER HAE
U+1CB1; C; U+10F1; # GEORGIAN MTAVRULI CAPITAL LETTER HE
U+1CB2; C; U+10F2; # GEORGIAN MTAVRULI CAPITAL LETTER HIE
U+1CB3; C; U+10F3; # GEORGIAN MTAVRULI CAPITAL LETTER WE
U+1CB4; C; U+10F4; # GEORGIAN MTAVRULI CAPITAL LETTER HAR
U+1CB5; C; U+10F5; # GEORGIAN MTAVRULI CAPITAL LETTER HOE
U+1CB6; C; U+10F6; # GEORGIAN MTAVRULI CAPITAL LETTER FI
U+1CB7; C; U+10F7; # GEORGIAN MTAVRULI CAPITAL LETTER YN
U+1CB8; C; U+10F8; # GEORGIAN MTAVRULI CAPITAL LETTER ELIFI
U+1CB9; C; U+10F9; # GEORGIAN MTAVRULI CAPITAL LETTER TURNED GAN
U+1CBA; C; U+10FA; # GEORGIAN MTAVRULI CAPITAL LETTER AIN
U+1CBD; C; U+10FD; # GEORGIAN MTAVRULI CAPITAL LETTER AEN
U+1CBE; C; U+10FE; # GEORGIAN MTAVRULI CAPITAL LETTER HARD SIGN
U+1CBF; C; U+10FF; # GEORGIAN MTAVRULI CAPITAL LETTER LABIAL SIGN
U+1E00; C; U+1E01; # LATIN CAPITAL LETTER A WITH RING BELOW
U+1E02; C; U+1E03; # LATIN CAPITAL LETTER B WITH DOT ABOVE
U+1E04; C; U+1E05; # LATIN CAPITAL LETTER B WITH DOT BELOW
U+1E06; C; U+1E07; # LATIN CAPITAL LETTER B WITH LINE BELOW
U+1E08; C; U+1E09; # LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE
U+1E0A; C; U+1E0B; # LATIN CAPITAL LETTER D WITH DOT ABOVE
U+1E0C; C; U+1E0D; # LATIN CAPITAL LETTER D WITH DOT BELOW
U+1E0E; C; U+1E0F; # LATIN CAPITAL LETTER D WITH LINE BELOW
U+1E10; C; U+1E11; # LATIN CAPITAL LETTER D WITH CEDILLA
U+1E12; C; U+1E13; # LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
U+1E14; C; U+1E15; # LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
U+1E16; C; U+1E17; # LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
U+1E18; C; U+1E19; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
U+1E1A; C; U+1E1B; # LATIN CAPITAL LETTER E WITH TILDE BELOW
U+1E1C; C; U+1E1D; # LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE
U+1E1E; C; U+1E1F; # LATIN CAPITAL LETTER F WITH DOT ABOVE
U+1E20; C; U+1E21; # LATIN CAPITAL LETTER G WITH MACRON
U+1E22; C; U+1E23; # LATIN CAPITAL LETTER H WITH DOT ABOVE
U+1E24; C; U+1E25; # LATIN CAPITAL LETTER H WITH DOT BELOW
U+1E26; C; U+1E27; # LATIN CAPITAL LETTER H WITH DIAERESIS
U+1E28; C; U+1E29; # LATIN CAPITAL LETTER H WITH CEDILLA
U+1E2A; C; U+1E2B; # LATIN CAPITAL LETTER H WITH BREVE BELOW
U+1E2C; C; U+1E2D; # LATIN CAPITAL LETTER I WITH TILDE BELOW
U+1E2E; C; U+1E2F; # LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE
U+1E30; C; U+1E31; # LATIN CAPITAL LETTER K WITH ACUTE
U+1E32; C; U+1E33; # LATIN CAPITAL LETTER K WITH DOT BELOW
U+1E34; C; U+1E35; # LATIN CAPITAL LETTER K WITH LINE BELOW
U+1E36; C; U+1E37; # LATIN CAPITAL LETTER L WITH DOT BELOW
U+1E38; C; U+1E39; # LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON
U+1E3A; C; U+1E3B; # LATIN CAPITAL LETTER L WITH LINE BELOW
U+1E3C; C; U+1E3D; # LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
U+1E3E; C; U+1E3F; # LATIN CAPITAL LETTER M WITH ACUTE
U+1E40; C; U+1E41; # LATIN CAPITAL LETTER M WITH DOT ABOVE
U+1E42; C; U+1E43; # LATIN CAPITAL LETTER M WITH DOT BELOW
U+1E44; C; U+1E45; # LATIN CAPITAL LETTER N WITH DOT ABOVE
U+1E46; C; U+1E47; # LATIN CAPITAL LETTER N WITH DOT BELOW
U+1E48; C; U+1E49; # LATIN CAPITAL LETTER N WITH LINE BELOW
U+1E4A; C; U+1E4B; # LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
U+1E4C; C; U+1E4D; # LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
U+1E4E; C; U+1E4F; # LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS
U+1E50; C; U+1E51; # LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
U+1E52; C; U+1E53; # LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
U+1E54; C; U+1E55; # LATIN CAPITAL LETTER P WITH ACUTE
U+1E56; C; U+1E57; # LATIN CAPITAL LETTER P WITH DOT ABOVE
U+1E58; C; U+1E59; # LATIN CAPITAL LETTER R WITH DOT ABOVE
U+1E5A; C; U+1E5B; # LATIN CAPITAL LETTER R WITH DOT BELOW
U+1E5C; C; U+1E5D; # LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON
U+1E5E; C; U+1E5F; # LATIN CAPITAL LETTER R WITH LINE BELOW
U+1E60; C; U+1E61; # LATIN CAPITAL LETTER S WITH DOT ABOVE
U+1E62; C; U+1E63; # LATIN CAPITAL LETTER S WITH DOT BELOW
U+1E64; C; U+1E65; # LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE
U+1E66; C; U+1E67; # LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE
U+1E68; C; U+1E69; # LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE
U+1E6A; C; U+1E6B; # LATIN CAPITAL LETTER T WITH DOT ABOVE
U+1E6C; C; U+1E6D; # LATIN CAPITAL LETTER T WITH DOT BELOW
U+1E6E; C; U+1E6F; # LATIN CAPITAL LETTER T WITH LINE BELOW
U+1E70; C; U+1E71; # LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW
U+1E72; C; U+1E73; # LATIN CAPITAL LETTER U WITH DIAERESIS BELOW
U+1E74; C; U+1E75; # LATIN CAPITAL LETTER U WITH TILDE BELOW
U+1E76; C; U+1E77; # LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW
U+1E78; C; U+1E79; # LATIN CAPITAL LETTER U WITH TILDE AND ACUTE
U+1E7A; C; U+1E7B; # LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS
U+1E7C; C; U+1E7D; # LATIN CAPITAL LETTER V WITH TILDE
U+1E7E; C; U+1E7F; # LATIN CAPITAL LETTER V WITH DOT BELOW
U+1E80; C; U+1E81; # LATIN CAPITAL LETTER W WITH GRAVE
U+1E82; C; U+1E83; # LATIN CAPITAL LETTER W WITH ACUTE
U+1E84; C; U+1E85; # LATIN CAPITAL LETTER W WITH DIAERESIS
U+1E86; C; U+1E87; # LATIN CAPITAL LETTER W WITH DOT ABOVE
U+1E88; C; U+1E89; # LATIN CAPITAL LETTER W WITH DOT BELOW
U+1E8A; C; U+1E8B; # LATIN CAPITAL LETTER X WITH DOT ABOVE
U+1E8C; C; U+1E8D; # LATIN CAPITAL LETTER X WITH DIAERESIS
U+1E8E; C; U+1E8F; # LATIN CAPITAL LETTER Y WITH DOT ABOVE
U+1E90; C; U+1E91; # LATIN CAPITAL LETTER Z WITH CIRCUMFLEX
U+1E92; C; U+1E93; # LATIN CAPITAL LETTER Z WITH DOT BELOW
U+1E94; C; U+1E95; # LATIN CAPITAL LETTER Z WITH LINE BELOW
U+1E96; F; U+0068 U+0331; # LATIN SMALL LETTER H WITH LINE BELOW
U+1E97; F; U+0074 U+0308; # LATIN SMALL LETTER T WITH DIAERESIS
U+1E98; F; U+0077 U+030A; # LATIN SMALL LETTER W WITH RING ABOVE
U+1E99; F; U+0079 U+030A; # LATIN SMALL LETTER Y WITH RING ABOVE
U+1E9A; F; U+0061 U+02BE; # LATIN SMALL LETTER A WITH RIGHT HALF RING
U+1E9B; C; U+1E61; # LATIN SMALL LETTER LONG S WITH DOT ABOVE
U+1E9E; F; U+0073 U+0073; # LATIN CAPITAL LETTER SHARP S
U+1E9E; S; U+00DF; # LATIN CAPITAL LETTER SHARP S
U+1EA0; C; U+1EA1; # LATIN CAPITAL LETTER A WITH DOT BELOW
U+1EA2; C; U+1EA3; # LATIN CAPITAL LETTER A WITH HOOK ABOVE
U+1EA4; C; U+1EA5; # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE
U+1EA6; C; U+1EA7; # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE
U+1EA8; C; U+1EA9; # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
U+1EAA; C; U+1EAB; # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE
U+1EAC; C; U+1EAD; # LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW
U+1EAE; C; U+1EAF; # LATIN CAPITAL LETTER A WITH BREVE AND ACUTE
U+1EB0; C; U+1EB1; # LATIN CAPITAL LETTER A WITH BREVE AND GRAVE
U+1EB2; C; U+1EB3; # LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE
U+1EB4; C; U+1EB5; # LATIN CAPITAL LETTER A WITH BREVE AND TILDE
U+1EB6; C; U+1EB7; # LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW
U+1EB8; C; U+1EB9; # LATIN CAPITAL LETTER E WITH DOT BELOW
U+1EBA; C; U+1EBB; # LATIN CAPITAL LETTER E WITH HOOK ABOVE
U+1EBC; C; U+1EBD; # LATIN CAPITAL LETTER E WITH TILDE
U+1EBE; C; U+1EBF; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
U+1EC0; C; U+1EC1; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
U+1EC2; C; U+1EC3; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
U+1EC4; C; U+1EC5; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE
U+1EC6; C; U+1EC7; # LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW
U+1EC8; C; U+1EC9; # LATIN CAPITAL LETTER I WITH HOOK ABOVE
U+1ECA; C; U+1ECB; # LATIN CAPITAL LETTER I WITH DOT BELOW
U+1ECC; C; U+1ECD; # LATIN CAPITAL LETTER O WITH DOT BELOW
U+1ECE; C; U+1ECF; # LATIN CAPITAL LETTER O WITH HOOK ABOVE
U+1ED0; C; U+1ED1; # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
U+1ED2; C; U+1ED3; # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
U+1ED4; C; U+1ED5; # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
U+1ED6; C; U+1ED7; # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
U+1ED8; C; U+1ED9; # LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
U+1EDA; C; U+1EDB; # LATIN CAPITAL LETTER O WITH HORN AND ACUTE
U+1EDC; C; U+1EDD; # LATIN CAPITAL LETTER O WITH HORN AND GRAVE
U+1EDE; C; U+1EDF; # LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
U+1EE0; C; U+1EE1; # LATIN CAPITAL LETTER O WITH HORN AND TILDE
U+1EE2; C; U+1EE3; # LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
U+1EE4; C; U+1EE5; # LATIN CAPITAL LETTER U WITH DOT BELOW
U+1EE6; C; U+1EE7; # LATIN CAPITAL LETTER U WITH HOOK ABOVE
U+1EE8; C; U+1EE9; # LATIN CAPITAL LETTER U WITH HORN AND ACUTE
U+1EEA; C; U+1EEB; # LATIN CAPITAL LETTER U WITH HORN AND GRAVE
U+1EEC; C; U+1EED; # LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
