Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+013B; C; U+013C; # LATIN CAPITAL LETTER L WITH CEDILLA
U+013D; C; U+013E; # LATIN CAPITAL LETTER L WITH CARON
U+013F; C; U+0140; # LATIN CAPITAL LETTER L WITH MIDDLE DOT
U+0141; C; U+0142; # LATIN CAPITAL LETTER L WITH STROKE
U+0143; C; U+0144; # LATIN CAPITAL LETTER N WITH ACUTE
U+0145; C; U+0146; # LATIN CAPITAL LETTER N WITH CEDILLA
U+0147; C; U+0148; # LATIN CAPITAL LETTER N WITH CARON
U+0149; F; U+02BC U+006E; # LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
U+014A; C; U+014B; # LATIN CAPITAL LETTER ENG
U+014C; C; U+014D; # LATIN CAPITAL LETTER O WITH MACRON
U+014E; C; U+014F; # LATIN CAPITAL LETTER O WITH BREVE
U+0150; C; U+0151; # LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
U+0152; C; U+0153; # LATIN CAPITAL LIGATURE OE
U+0154; C; U+0155; # LATIN CAPITAL LETTER R WITH ACUTE
U+0156; C; U+0157; # LATIN CAPITAL LETTER R WITH CEDILLA
U+0158; C; U+0159; # LATIN CAPITAL LETTER R WITH CARON
U+015A; C; U+015B; # LATIN CAPITAL LETTER S WITH ACUTE
U+015C; C; U+015D; # LATIN CAPITAL LETTER S WITH CIRCUMFLEX
U+015E; C; U+015F; # LATIN CAPITAL LETTER S WITH CEDILLA
U+0160; C; U+0161; # LATIN CAPITAL LETTER S WITH CARON
U+0162; C; U+0163; # LATIN CAPITAL LETTER T WITH CEDILLA
U+0164; C; U+0165; # LATIN CAPITAL LETTER T WITH CARON
U+0166; C; U+0167; # LATIN CAPITAL LETTER T WITH STROKE
U+0168; C; U+0169; # LATIN CAPITAL LETTER U WITH TILDE
U+016A; C; U+016B; # LATIN CAPITAL LETTER U WITH MACRON
U+016C; C; U+016D; # LATIN CAPITAL LETTER U WITH BREVE
U+016E; C; U+016F; # LATIN CAPITAL LETTER U WITH RING ABOVE
U+0170; C; U+0171; # LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
U+0172; C; U+0173; # LATIN CAPITAL LETTER U WITH OGONEK
U+0174; C; U+0175; # LATIN CAPITAL LETTER W WITH CIRCUMFLEX
U+0176; C; U+0177; # LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
U+0178; C; U+00FF; # LATIN CAPITAL LETTER Y WITH DIAERESIS
U+0179; C; U+017A; # LATIN CAPITAL LETTER Z WITH ACUTE
U+017B; C; U+017C; # LATIN CAPITAL LETTER Z WITH DOT ABOVE
U+017D; C; U+017E; # LATIN CAPITAL LETTER Z WITH CARON
U+017F; C; U+0073; # LATIN SMALL LETTER LONG S
U+0181; C; U+0253; # LATIN CAPITAL LETTER B WITH HOOK
U+0182; C; U+0183; # LATIN CAPITAL LETTER B WITH TOPBAR
U+0184; C; U+0185; # LATIN CAPITAL LETTER TONE SIX
U+0186; C; U+0254; # LATIN CAPITAL LETTER OPEN O
U+0187; C; U+0188; # LATIN CAPITAL LETTER C WITH HOOK
U+0189; C; U+0256; # LATIN CAPITAL LETTER AFRICAN D
U+018A; C; U+0257; # LATIN CAPITAL LETTER D WITH HOOK
U+018B; C; U+018C; # LATIN CAPITAL LETTER D WITH TOPBAR
U+018E; C; U+01DD; # LATIN CAPITAL LETTER REVERSED E
U+018F; C; U+0259; # LATIN CAPITAL LETTER SCHWA
U+0190; C; U+025B; # LATIN CAPITAL LETTER OPEN E
U+0191; C; U+0192; # LATIN CAPITAL LETTER F WITH HOOK
U+0193; C; U+0260; # LATIN CAPITAL LETTER G WITH HOOK
U+0194; C; U+0263; # LATIN CAPITAL LETTER GAMMA
U+0196; C; U+0269; # LATIN CAPITAL LETTER IOTA
U+0197; C; U+0268; # LATIN CAPITAL LETTER I WITH STROKE
U+0198; C; U+0199; # LATIN CAPITAL LETTER K WITH HOOK
U+019C; C; U+026F; # LATIN CAPITAL LETTER TURNED M
U+019D; C; U+0272; # LATIN CAPITAL LETTER N WITH LEFT HOOK
U+019F; C; U+0275; # LATIN CAPITAL LETTER O WITH MIDDLE TILDE
U+01A0; C; U+01A1; # LATIN CAPITAL LETTER O WITH HORN
U+01A2; C; U+01A3; # LATIN CAPITAL LETTER OI
U+01A4; C; U+01A5; # LATIN CAPITAL LETTER P WITH HOOK
U+01A6; C; U+0280; # LATIN LETTER YR
U+01A7; C; U+01A8; # LATIN CAPITAL LETTER TONE TWO
U+01A9; C; U+0283; # LATIN CAPITAL LETTER ESH
U+01AC; C; U+01AD; # LATIN CAPITAL LETTER T WITH HOOK
U+01AE; C; U+0288; # LATIN CAPITAL LETTER T WITH RETROFLEX HOOK
U+01AF; C; U+01B0; # LATIN CAPITAL LETTER U WITH HORN
U+01B1; C; U+028A; # LATIN CAPITAL LETTER UPSILON
U+01B2; C; U+028B; # LATIN CAPITAL LETTER V WITH HOOK
U+01B3; C; U+01B4; # LATIN CAPITAL LETTER Y WITH HOOK
U+01B5; C; U+01B6; # LATIN CAPITAL LETTER Z WITH STROKE
U+01B7; C; U+0292; # LATIN CAPITAL LETTER EZH
U+01B8; C; U+01B9; # LATIN CAPITAL LETTER EZH REVERSED
U+01BC; C; U+01BD; # LATIN CAPITAL LETTER TONE FIVE
U+01C4; C; U+01C6; # LATIN CAPITAL LETTER DZ WITH CARON
U+01C5; C; U+01C6; # LATIN CAPITAL LETTER D WITH SMALL LETTER Z WITH CARON
U+01C7; C; U+01C9; # LATIN CAPITAL LETTER LJ
U+01C8; C; U+01C9; # LATIN CAPITAL LETTER L WITH SMALL LETTER J
U+01CA; C; U+01CC; # LATIN CAPITAL LETTER NJ
U+01CB; C; U+01CC; # LATIN CAPITAL LETTER N WITH SMALL LETTER J
U+01CD; C; U+01CE; # LATIN CAPITAL LETTER A WITH CARON
U+01CF; C; U+01D0; # LATIN CAPITAL LETTER I WITH CARON
U+01D1; C; U+01D2; # LATIN CAPITAL LETTER O WITH CARON
U+01D3; C; U+01D4; # LATIN CAPITAL LETTER U WITH CARON
U+01D5; C; U+01D6; # LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
U+01D7; C; U+01D8; # LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
U+01D9; C; U+01DA; # LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
U+01DB; C; U+01DC; # LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
U+01DE; C; U+01DF; # LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
U+01E0; C; U+01E1; # LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
U+01E2; C; U+01E3; # LATIN CAPITAL LETTER AE WITH MACRON
U+01E4; C; U+01E5; # LATIN CAPITAL LETTER G WITH STROKE
U+01E6; C; U+01E7; # LATIN CAPITAL LETTER G WITH CARON
U+01E8; C; U+01E9; # LATIN CAPITAL LETTER K WITH CARON
U+01EA; C; U+01EB; # LATIN CAPITAL LETTER O WITH OGONEK
